,Datetime,Open,High,Low,Close,Volume
50,2020-03-12T00:00:00,62.0,62.43,58.17,58.6,28174778
51,2020-03-13T00:00:00,53.53,62.17,50.67,61.5,41589406
52,2020-03-16T00:00:00,60.27,61.73,58.43,59.8,29823600
53,2020-03-17T00:00:00,60.0,62.33,59.3,59.6,17242692
54,2020-03-18T00:00:00,60.17,60.9,57.63,58.4,18144753
55,2020-03-19T00:00:00,56.3,60.53,54.93,58.63,21202946
56,2020-03-20T00:00:00,59.33,61.97,58.73,60.4,20032128
57,2020-03-23T00:00:00,54.67,58.17,53.33,53.83,14024553
58,2020-03-24T00:00:00,55.27,56.0,51.77,53.13,15678126
59,2020-03-25T00:00:00,51.87,53.97,51.33,51.9,18088609
60,2020-03-26T00:00:00,52.0,52.33,49.77,52.0,18316505
61,2020-03-27T00:00:00,52.33,53.43,50.7,51.27,13442836
62,2020-03-30T00:00:00,50.0,52.2,49.63,51.2,11491396
63,2020-03-31T00:00:00,52.0,55.0,51.37,54.43,24278037
64,2020-04-01T00:00:00,54.43,54.8,52.0,52.63,10479535
65,2020-04-03T00:00:00,54.0,54.73,51.07,53.0,17006294
66,2020-04-07T00:00:00,54.67,55.8,53.33,55.33,16078424
67,2020-04-08T00:00:00,55.23,57.33,54.07,54.5,20433621
68,2020-04-09T00:00:00,55.13,56.13,54.57,55.6,13585658
69,2020-04-13T00:00:00,56.33,56.33,54.53,55.43,9679851
70,2020-04-15T00:00:00,56.0,57.53,55.2,55.47,13661968
71,2020-04-16T00:00:00,55.5,57.2,55.03,56.47,11993071
72,2020-04-17T00:00:00,57.37,57.87,56.67,57.33,9160107
73,2020-04-20T00:00:00,58.5,59.67,57.17,58.37,17688009
74,2020-04-21T00:00:00,57.87,57.87,55.0,55.33,13638140
75,2020-04-22T00:00:00,55.3,55.83,52.77,55.33,15316400
76,2020-04-23T00:00:00,55.6,56.67,55.2,55.4,9180558
77,2020-04-24T00:00:00,54.83,56.27,54.07,54.33,10417195
78,2020-04-27T00:00:00,54.93,55.37,54.2,54.33,6320557
79,2020-04-28T00:00:00,54.73,55.0,52.87,53.1,18484160
